Title,Company,Location,Salary,Job Type,Date Posted,Summary
"Analyst, Data",Standard Bank Group,Lagos,,,PostedPosted 26 days ago,"S Analyst, Data Standard Bank Group Software & Data Lagos Full Time NGN Confidential 3 weeks ago Job Summary Job Description/Requirements Job Description…"
IT Business Analyst,Primeguage Solutions Limited,Abuja,,,EmployerActive 7 days ago,"*Job Description: * As part of the Strategic Growth Team, the IT Business Analyst is responsible for facilitating the delivery of assigned projects on time…"
Business Development intern,ValueGate Consulting,Abuja,,,PostedPosted 30+ days ago,"About Us ValueGate Consulting is a global consulting powerhouse with Engineers, Business analyst, Data analyst and Technical specialist. We began our…"
Operations Analyst,NoemDek,Lagos,,,PostedPosted 7 days ago,"This is Not a Data Analyst Role About Us NoemDek Limited is an EPC Company incorporated in Nigeria in 2012, to provide specialized services to the Oil & Gas…"
Data Analyst Assistant,Yaphi Tech Nigeria Limited,Lagos,,,PostedPosted 6 days ago,"Yaphi Tech Nigeria Limited is a Leading Lifestyle brand, essentially created to provide great quality products, from luxury wristwatches, bags, make-up,…"
Sales & Reporting Analyst,Coca-Cola Hellenic Bottling Company,Nigeria,,,PostedPosted 30+ days ago,C Sales & Reporting Analyst Coca-Cola Hellenic Bottling Company Software & Data Rest of Nigeria Full Time NGN Confidential 1 month ago Job Summary Job…
Business Analyst,Halogen Group,Ikeja,,,EmployerActive 6 days ago,"The Business Analyst is responsible for providing strategic and administrative support to Manned Guarding Leadership; preparing strategic documents,…"
Integrated Planning Analyst,ExxonMobil,Lagos,,,PostedPosted 7 days ago,"About us At ExxonMobil, our vision is to lead in energy innovations that advance modern living and a net-zero future. As one of the world’s largest publicly…"
Business Analyst (Nigeria-Remote),Token Metrics,Lagos,,Full-time,PostedPosted 25 days ago,Token Metrics is searching for a highly capable Business Analyst to optimize Data & create a visualization on Mixpanel. We are looking for a Business Analyst…
"Analyst I, Fin & Data Mgmt - Coyol",Boston Scientific Corporation,Cross River,,,PostedPosted 13 days ago,"Work mode: Hybrid Onsite Location(s): Coyol, CR Recruiter: Jeremy Fernandez Diversity - Innovation - Caring - Global Collaboration - Winning Spirit - High…"
Data Analyst and Machine Learning Engineer,Jobberman (Third Party Recruitment),Lagos,,,PostedPosted 19 days ago,"Data Analyst and Machine Learning Engineer Jobberman (Third Party Recruitment) Software & Data Lagos Full Time Banking, Finance & Insurance NGN Confidential…"
Marketing Analyst,Coca-Cola Hellenic Bottling Company,Nigeria,,,PostedPosted 30+ days ago,C Marketing Analyst Coca-Cola Hellenic Bottling Company Marketing & Communications Rest of Nigeria Full Time NGN Confidential 1 month ago Job Summary Job…
Payment Analyst,Right Stakes,Ikeja,,,PostedPosted 19 days ago,"We are a well-funded startup born to revolutionize the face of software development and entertainment industries worldwide. We take Agile seriously, and we…"
Data Analyst,RS Hunter Ltd,Yaba,,,PostedPosted 30+ days ago,"Technical expertise regarding data models, database design development, data mining and segmentation techniques.
Proven working experience in data analysis."
FINANCIAL REPORTING ANALYST,TEAM-ACE LIMITED,Lagos,"₦450,000 - ₦600,000 a month",Contract,EmployerActive 5 days ago,"Collaborate with cross-functional teams to gather necessary financial data and ensure accuracy of reported information.*.
Must have a minimum B."
Global Client Data Analyst,,Nigeria,,,PostedPosted 20 days ago,"Work with data engineers to avail data.
Evaluate and communicate data quality limitations.
3+ years of experience in data analytics.
One Acre Fund Kenya (HQ)."
Logistics Analyst,NoemDek,Lagos,,,PostedPosted 8 days ago,"Analyzing supply chain data and performance metrics to identify trends, opportunities, and areas for improvement."
REGIONAL MARKETING SPECIALIST(North East),Moniepoint,Gombe,,,PostedPosted 14 days ago,Moniepoint is an all-in-one financial services platform for emerging markets and the second-fastest growing company in Africa.
Structured Finance Analyst,Eclat Human Resource Consulting Limited.,Abuja,"₦200,000 - ₦250,000 a month",Full-time +1,EmployerActive 5 days ago,"Data Management: Collect, organize, and analyze financial and sales data from various sources, ensuring data accuracy and integrity for informed decision…"
Procurement Analyst,The Place - Smackers Limited,Lagos,,Full-time,PostedPosted 11 days ago,"Analyze data to identify problematic areas and suggest improvements.
The Place is a trademark of Smackers Limited.
We are recruiting to fill the position below:"
Investment Analysts â Africa (multiple locations).,The World Bank,Lagos,,,PostedPosted 30+ days ago,"Â¢ Ensuring the highest standards of portfolio data accuracy and preparingmonitoring reports.
Â¢ Engaging with internal teams and clients on data inquiries,…"
IT SECURITY ADMIN ANALYST (ENTRY LEVEL),GVA Partners,Lagos,,,EmployerActive 5 days ago,"Support administration analyst: 4 years (Required).
Work with cybersecurity operations team to protect assets from unauthorized access, unauthorized data…"
Venture & Investment Analyst,Eclat Human Resource Consulting Limited.,Abuja,"₦100,000 - ₦150,000 a month",Full-time +1,EmployerActive 5 days ago,"Good understanding of digital business models combined with the analytical skill set for data-based evaluation.
Job Title: Venture & Investment Analyst*."
Financial Business Analyst,Paga,Yaba,,Full-time,PostedJust posted,"Analyse business unit financial data and create financial models for decision support.
Recommend actions by analysing and interpreting data and making…"
Junior Risk Analyst,COOLBUCKS LIMITED,Lagos,,,PostedPosted 4 days ago,"Utilize quantitative and qualitative analysis to interpret data and identify trends, providing insights into potential risks.
B.Sc. in any related discipline."
Business Analyst,Beconomics Limited,Abuja,,,PostedPosted 30+ days ago,The business analyst will therefore be involved in organizational and mandate reviews to assess workforce performance and determine the relevant upskilling…
Consolidation and Reporting Analyst,Dangote Industries Limited,Nigeria,,Full-time,PostedToday,"Provision of agreed business and compliance reports and data analysis to facilitate decision-making.
Accurate review of General Ledger, maintenance of master…"
Cyber Threat Analyst,Trustwave,Plateau,,Full-time,PostedPosted 29 days ago,"Analyze and respond to security events from firewalls, IDS, IPS, SIEM, Web Application Firewall (WAF) and other security data sources within documented SLA."
Impact Investment Analyst,Sawubona Advisory Services,Lagos,"₦220,000 a month",Full-time,EmployerActive 20 days ago,"The analyst is expected to apply analytical rigour, an understanding of development gaps and capital absorption frameworks to deliver on this expectation of…"
Content developer Intern,ValueGate Consulting,Nigeria,,,PostedPosted 30+ days ago,"ValueGate Consulting is a global consulting powerhouse with Engineers, Business analyst, Data analyst and Technical specialist.
Our clients face no such issues."
Informatics System Analyst,"Palladium Group, Inc.",Nigeria,,,PostedPosted 28 days ago,5 years of experience in Business and System Analysis supporting development and implementation of digital tools specifically relating to technology and data…
